movie_id,imdb_id,tmdb_id,rating,average_rating,title
296,0110912,680,5.0,4.19491,Pulp Fiction (1994)
318,0111161,278,5.0,4.41516,The Shawshank Redemption (1994)
356,0109830,13,3.5,4.0711,Forrest Gump (1994)
364,0110357,8587,4.0,3.83857,The Lion King (1994)
3000,0119698,128,5.0,4.17164,Princess Mononoke (1997)
4447,0250494,8835,3.5,3.21939,Legally Blonde (2001)
4995,0268978,453,4.5,3.96321,A Beautiful Mind (2001)
5618,0245429,129,4.0,4.22226,Spirited Away (2001)
5690,0095327,12477,5.0,4.1029,Grave of the Fireflies (1988)
5816,0295297,672,4.0,3.65664,Harry Potter and the Chamber of Secrets (2002)
5971,0096283,8392,3.0,4.16047,My Neighbor Totoro (1988)
5989,0264464,640,5.0,3.96927,Catch Me If You Can (2002)
6283,0275277,11299,5.0,3.90146,Cowboy Bebop: The Movie (2001)
6539,0325980,22,3.5,3.79017,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
6874,0266697,24,5.0,3.85973,Kill Bill: Vol. 1 (2003)
8529,0362227,594,4.5,3.62357,The Terminal (2004)
8961,0317705,9806,4.0,3.84596,The Incredibles (2004)
26662,0097814,16859,2.5,4.05347,Kiki's Delivery Service (1989)
31658,0347149,4935,5.0,4.12267,Howl's Moving Castle (2004)
41566,0363771,411,3.0,3.39006,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)"
45517,0317219,920,3.5,3.34734,Cars (2006)
47099,0454921,1402,4.0,3.8379,The Pursuit of Happyness (2006)
50872,0382932,2062,5.0,3.83954,Ratatouille (2007)
53996,0418279,1858,1.5,3.05277,Transformers (2007)
54503,0829482,8363,3.5,3.77529,Superbad (2007)
55247,0758758,5915,4.5,3.84472,Into the Wild (2007)
59784,0441773,9502,5.0,3.6383,Kung Fu Panda (2008)
60069,0910970,10681,5.0,4.01609,WALL·E (2008)
68954,1049413,14160,3.5,3.95761,Up (2009)
72226,0432283,10315,5.0,3.90008,Fantastic Mr. Fox (2009)
79132,1375666,27205,4.5,4.17327,Inception (2010)
79702,0446029,22538,5.0,3.77304,Scott Pilgrim vs. the World (2010)
86332,0800369,10195,2.5,3.29695,Thor (2011)
98809,0903624,49051,5.0,3.61234,The Hobbit: An Unexpected Journey (2012)
109487,0816692,157336,5.0,4.16384,Interstellar (2014)
112852,2015381,118340,3.5,3.90455,Guardians of the Galaxy (2014)
115617,2245084,177572,3.5,3.86146,Big Hero 6 (2014)
122882,1392190,76341,4.0,3.87593,Mad Max: Fury Road (2015)
122904,1431045,293660,3.5,3.84979,Deadpool (2016)
122916,3501632,284053,2.0,3.85627,Thor: Ragnarok (2017)
134130,3659388,286217,4.0,4.02593,The Martian (2015)
134853,2096673,150540,4.0,3.91017,Inside Out (2015)
152081,2948356,269149,2.5,3.8452,Zootopia (2016)
163134,5311514,372058,4.0,4.13979,Your Name. (2016)
195159,4633694,324857,5.0,4.17959,Spider-Man: Into the Spider-Verse (2018)
202439,6751668,496243,5.0,4.30721,Parasite (2019)
204698,7286456,475557,2.0,3.89634,Joker (2019)
221134,3030452,335671,1.5,0.0,F 63.9 Love Sickness (2013)
270698,6710474,545611,4.5,4.02992,Everything Everywhere All at Once (2022)
286897,9362722,569094,5.0,4.14137,Spider-Man: Across the Spider-Verse (2023)
312369,26743210,1087192,3.5,3.81208,How to Train Your Dragon (2025)
312377,16311594,911430,3.0,3.79892,F1 (2025)
314209,26581740,1078605,2.0,3.6356,Weapons (2025)
